,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
0,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
1,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
2,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
3,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
4,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
5,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
6,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
7,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
8,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
9,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
10,Oye24,HIG-LIG,"North Indian, Chinese",250,4.1
11,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
12,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
13,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
14,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
15,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
16,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
17,Hotel Zakir,Khajrana,North Indian,300,4.1
18,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
19,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
20,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
21,99 Rotiwala,HIG-LIG,North Indian,500,4.2
22,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
23,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
24,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
25,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
26,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
27,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
28,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
29,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
30,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
31,Mangosteen Cafe,New Palasia,Cafe,800,4
32,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
33,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
34,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
35,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
36,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
37,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
38,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
39,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
40,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
41,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
42,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
43,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
44,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
45,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
46,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
47,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
48,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
49,KFC,RNT Marg,"Burger, Fast Food",450,3.8
50,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
51,Guru Kripa,Rau,North Indian,300,3.9
52,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
53,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
54,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
55,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
56,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
57,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
58,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
59,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
60,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
61,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
62,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
63,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
64,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
65,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
66,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
